workload	timestamp	pit
15000	175500	17075.875
20000	175550	24417.445
10000	175600	20690
13000	175650	7105.4
12000	175700	3300.375
12000	175750	24662.834
19000	175800	8129.8335
14000	175850	6922.222
11000	175900	4513.4443
14000	175950	2311
14000	176000	6759.9287
20000	176050	4700
20000	176100	19076.166
14000	176150	3053.125
17000	176200	3226.2307
19000	176250	5360.467
16000	176300	19753.5
11000	176350	13461.091
10000	176400	9184.714
13000	176450	2194.6667
15000	176500	6946
13000	176550	8069.294
11000	176600	10322.3
12000	176650	11229.375
11000	176700	4770.857
18000	176750	35429.547
20000	176800	4213.5713
14000	176850	1820.6666
19000	176900	13283.308
11000	176950	3248.5
17000	177000	4867.154
10000	177050	6049.077
18000	177100	9810.167
16000	177150	4165
18000	177200	11747.9
11000	177250	6785.25
18000	177300	7871.5386
12000	177350	4947
13000	177400	15898.2
17000	177450	16629
14000	177500	5636.8823
18000	177550	13372.071
15000	177600	13763.714
15000	177650	4099
17000	177700	2720.923
12000	177750	5839.077
10000	177800	10615.637
19000	177850	6811.8887
15000	177900	13384.462
10000	177950	8838.286
13000	178000	7837.923
13000	178050	17212.572
16000	178100	3408.2727
11000	178150	14515.5
19000	178200	8055.909
18000	178250	26218.25
18000	178300	10416.333
19000	178350	26909.23
11000	178400	5848.125
19000	178450	5292
12000	178500	13020.143
13000	178550	2858.5
11000	178600	7801.6665
12000	178650	5136.154
16000	178700	10240.444
17000	178750	3094.9
13000	178800	8947.3
13000	178850	15690.75
17000	178900	8163.6
13000	178950	5046.3
15000	179000	9735.8
19000	179050	18714.5
14000	179100	5934.2
12000	179150	2063.7778
10000	179200	4335.1665
12000	179250	1232.4286
19000	179300	1378.5
19000	179350	10874.667
16000	179400	3305.8572
11000	179450	7080.846
11000	179500	11075.5
17000	179550	16693.5
11000	179600	9577
18000	179650	4603.8335
11000	179700	6453.8335
19000	179750	12239.429
10000	179800	5962.75
16000	179850	13924.5
13000	179900	10553
10000	179950	21369.5
17000	180000	8695.087
12000	180050	8756.733
14000	180100	5525.077
17000	180150	2736.1
11000	180200	16759.5
12000	180250	52866.332
10000	180300	29968.75
19000	180350	3861
13000	180400	4589.7334
16000	180450	7413.778
19000	180500	13251.733
20000	180550	17143.445
13000	180600	3872.7144
16000	180650	7304.077
17000	180700	7072
13000	180750	6426
13000	180800	3835.4614
18000	180850	6242.3887
18000	180900	7356.8
10000	180950	10428.154
10000	181000	15530
16000	181050	3263.182
15000	181100	4549.3076
18000	181150	3304.5
16000	181200	3411.077
13000	181250	11808.857
20000	181300	12047.0625
15000	181350	5999.375
13000	181400	21700.285
13000	181450	2303.4443
15000	181500	14254.134
15000	181550	41072.5
17000	181600	1111.7142
13000	181650	3033.5
14000	181700	18405.2
12000	181750	11583.625
15000	181800	10097.125
17000	181850	5008.467
15000	181900	19081.375
11000	181950	12141
20000	182000	11007.546
12000	182050	15317.2
12000	182100	3311.7778
11000	182150	30817.125
17000	182200	6513.7144
19000	182250	11117.333
14000	182300	4379.2856
14000	182350	3166.4
11000	182400	4801.7144
10000	182450	2793
17000	182500	9911.765
15000	182550	4834.375
12000	182600	7556.3335
13000	182650	21288
18000	182700	3559.9092
16000	182750	5433.273
12000	182800	7642.364
11000	182850	23019.455
10000	182900	1424
14000	182950	15187.7
18000	183000	4057.2856
16000	183050	5311.25
19000	183100	11059
18000	183150	4871
17000	183200	27060
15000	183250	5884.5
20000	183300	3973.125
14000	183350	6761.5
20000	183400	11909.714
19000	183450	5814.8335
11000	183500	1980.8572
15000	183550	5688.8
17000	183600	9518.375
10000	183650	9954.889
15000	183700	28220.572
15000	183750	9346.889
17000	183800	13092.556
10000	183850	23898.25
12000	183900	7063.6
13000	183950	11862.375
11000	184000	15270.556
16000	184050	27738
15000	184100	6118.6665
12000	184150	9835.223
13000	184200	16450.25
13000	184250	4964.5557
15000	184300	4856.8
15000	184350	5557.625
17000	184400	11467.429
19000	184450	3721.5625
16000	184500	13608.333
19000	184550	8559.6
16000	184600	58736.625
18000	184650	6888.2666
13000	184700	12414
19000	184750	11693.111
15000	184800	4732.857
11000	184850	6368.8
17000	184900	11431
13000	184950	8650.154
11000	185000	12469.7
11000	185050	10626.929
20000	185100	16658
18000	185150	5029.25
11000	185200	12662.429
10000	185250	2774.7778
18000	185300	8684.167
13000	185350	10059.5
15000	185400	6802.4546
11000	185450	28196.334
18000	185500	2331.5
15000	185550	36645.5
16000	185600	6911.5
14000	185650	8662.363
17000	185700	7514.25
20000	185750	14160.777
18000	185800	2193.75
14000	185850	7471.5713
14000	185900	20040.916
19000	185950	3920
19000	186000	5393
16000	186050	14182.857
18000	186100	12585.8
14000	186150	3432.8333
18000	186200	4213.4614
17000	186250	7759.2856
13000	186300	10357.866
18000	186350	1534.1111
10000	186400	6342.9165
17000	186450	6026.2
13000	186500	4866.6665
11000	186550	15565.786
14000	186600	8251.077
17000	186650	13999.6
14000	186700	7075.625
13000	186750	1687
12000	186800	5832.6665
10000	186850	5777.357
10000	186900	15475.25
11000	186950	21281.666
17000	187000	4233.273
15000	187050	2971.4546
14000	187100	17256.834
20000	187150	3195.5
19000	187200	7229.778
20000	187250	6598
11000	187300	6578.3335
17000	187350	13372.333
15000	187400	24309.777
15000	187450	4068.8572
19000	187500	6555.6
17000	187550	10682.866
16000	187600	3399.125
10000	187650	3848.2
17000	187700	13514.053
15000	187750	2166.818
